"x","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000197471",-218.70292142607,76.6782136151014,-16.6396356001554,2.87868807613813e-12,6.02845261277926e-10,-3.92000141213127
"ENSG00000095370",-223.820836301316,82.0553161692067,-16.6141936219421,2.95330795733314e-12,6.08333024326081e-10,-3.92013868391924
"ENSG00000101608",-696.421818220466,446.429416261435,-16.5109666727989,3.2776136570026e-12,6.6424541290706e-10,-3.92070161761636
"ENSG00000086730",-489.328742292075,156.918307559733,-16.2861907052785,4.12058204180958e-12,8.01813800186989e-10,-3.9219614239545
"ENSG00000143110",-733.530450455869,249.534335539289,-16.2804678416741,4.14481454837717e-12,8.01813800186989e-10,-3.92199412258511
"ENSG00000133574",-937.289688006613,321.056968689797,-16.2797504300192,4.1478628740274e-12,8.01813800186989e-10,-3.92199822386919
"ENSG00000158869",-1581.42266966706,545.413099859199,-16.1791437089124,4.5996309877378e-12,8.75672172135233e-10,-3.92257830910744
"ENSG00000163220",-7635.02882098329,2485.65105157626,-15.9038185432847,6.12155105966669e-12,1.14801923977182e-09,-3.9242173558234
"ENSG00000175567",-3264.73206352131,1153.88091571213,-15.8528889487461,6.45700165559887e-12,1.19312096768529e-09,-3.92452908749584
"ENSG00000059377",-323.188210490695,106.013267128579,-15.701538967134,7.57305145578068e-12,1.37906364553455e-09,-3.92547177930921
"ENSG00000122224",-230.631343925627,72.3371942348106,-15.5729944488774,8.68034374572071e-12,1.55364690888513e-09,-3.9262920663034
"ENSG00000122122",-832.674599216399,268.241722359068,-15.5623834922071,8.7790633132387e-12,1.55364690888513e-09,-3.92636060223991
"ENSG00000145287",-323.989841860133,101.879590645776,-15.5378697247415,9.01167418567471e-12,1.57266230754171e-09,-3.92651942243324
"ENSG00000131238",-883.944811947834,535.690202987086,-15.4961331708173,9.42275886691354e-12,1.62187623510642e-09,-3.92679139666927
"ENSG00000167996",-1487.62411475683,983.405239894462,-15.3558563995155,1.09552825446956e-11,1.83604192293877e-09,-3.92772023690875
"ENSG00000145649",-576.429552476839,187.52727523494,-15.3455818714571,1.10773912219502e-11,1.83604192293877e-09,-3.92778917524663
"ENSG00000177885",-398.130239043846,179.291736687425,-15.3432430434127,1.11053868796933e-11,1.83604192293877e-09,-3.92780488540527
"ENSG00000026751",-405.240053733663,132.07824094393,-15.2894490208816,1.17702800797597e-11,1.90202578106397e-09,-3.92816802342346
"ENSG00000127951",-420.321708121062,204.185114511672,-15.286552961011,1.18072432091516e-11,1.90202578106397e-09,-3.92818767154368
"ENSG00000081320",-374.381125780906,151.049831953942,-15.2137916127665,1.27771514718295e-11,2.03221402839921e-09,-3.92868464100424
"ENSG00000026297",-314.91051719932,150.46529268807,-15.1355527798754,1.39142325753066e-11,2.18540415385909e-09,-3.92922624308475
