"hgnc_symbol","HGNC","Ensembl_ID","HC_1_SKIN","HC_2_SKIN","HC_3_SKIN","HC_4_SKIN","HC_5_SKIN","A_1_SKIN","A_2_SKIN","A_3_SKIN","A_4_SKIN","A_5_SKIN","A_6_SKIN","A_2_PBMC","A_3_PBMC","A_4_PBMC","A_5_PBMC","A_6_PBMC"
"ARPC5L","ARPC5L","ENSG00000136950",64.3131877023852,109.604688805737,259.468041386014,216.359650280474,42.3011394698296,123.997317910736,206.18763228751,182.847239793368,88.9471406756844,99.0867938102467,200.825400925024,110.434016395172,95.9893413078021,79.6383292336521,83.1832506926974,96.8574822233494
"ENPP2","ENPP2","ENSG00000136960",0.178647743617737,0.339333401875347,3.78522325050802,59.7015721090334,40.876592209854,0.0759554780463924,44.6211487605963,74.1090507637087,81.4702639688242,103.960335312692,37.566872263734,43.2484279632689,4.11008111885821,0.0807690965858541,0,0.140832398725335
"DSCC1","DSCC1","ENSG00000136982",28.5240897309653,0,0,1.6213462552242,0,0,0,13.8786040521127,0.110768543805335,9.72143278645703,0.937497703551295,9.17835907539662,0,0.040384548292927,0,0
"DERL1","DERL1","ENSG00000136986",18.9962100713527,18.7312037835192,147.894079859135,80.0945050080755,46.7330642786424,3.83575164134281,61.9836940286637,65.4180802650555,28.6890528455819,30.7546119022744,17.8794204891568,72.2520426415222,100.449216564436,123.8997941627,145.892778740155,98.5122629083721
"MYC","MYC","ENSG00000136997",196.452968731638,159.758165602913,570.306969743209,65.2141493767956,181.392351103554,68.8156631100315,103.997498107366,95.3985598921922,40.4305184889474,290.386122890449,150.870166150076,136.830977096013,299.13228682073,89.8960045000556,72.9323854558195,295.431164426072
NA,"NOV","ENSG00000136999",114.096358923861,101.324953799979,26.4965627535562,70.5826069774269,82.5050288069174,8.31712484607996,6.96279545733077,89.3350921024342,155.90672540601,31.6267193290278,108.214020638492,0.110140308904759,0.204046580368848,0.0807690965858541,0.0560156570321195,0.105624299044002
"IL33","IL33","ENSG00000137033",115.823287112166,24.0248048527746,46.3239226371696,1.29707700417936,44.2401065736852,17.0899825604383,46.0433367689022,78.6229656738618,109.217784192061,2.79587380929767,0.602677095140118,0.0734268726031729,0.14574755740632,0.161538193171708,0,0
"DMAC1","DMAC1","ENSG00000137038",74.1388136013607,61.3514790590628,44.7016841012376,38.4078912904222,75.0657264492673,67.7143086783588,50.1617562096213,78.959824995515,70.7257152197067,14.1589205755258,42.2543607814905,97.3273196355057,60.1062926743662,22.9788079786755,146.705005767121,158.929361961541
"RANBP6","RANBP6","ENSG00000137040",39.6597990831375,52.4609439299287,33.5262630759282,32.426925104484,0.0395707572215431,0,25.2734660642687,20.2115592991933,0.166152815708003,64.5359495797517,0,24.3410082679518,32.1519111638341,19.4653522771908,30.7245878821175,16.3365582521389
"POLR1E","POLR1E","ENSG00000137054",0.178647743617737,73.36388148545,0.0901243631073339,46.1543233987156,55.517772381825,0.0379777390231962,10.0145738918204,20.2789311635239,0,20.2123721259318,4.82141676112095,0.0734268726031729,32.0061636064278,24.5538053620996,0.0560156570321195,21.8994380017897
